Designator,Mid X,Mid Y,Layer,Rotation
R1,7.62,11.43,Bottom,0
R2,7.62,13.97,Bottom,0
R3,19.56,11.43,Bottom,0
R4,19.56,13.97,Bottom,0
R5,31.5,11.43,Bottom,0
R6,31.5,13.97,Bottom,0
R7,43.43,11.43,Bottom,0
R8,43.43,13.97,Bottom,0
R9,55.37,11.43,Bottom,0
R10,55.37,13.97,Bottom,0
R11,67.31,11.43,Bottom,0
R12,67.31,13.97,Bottom,0
R13,79.25,11.43,Bottom,0
R14,79.25,13.97,Bottom,0
R15,91.19,11.43,Bottom,0
R16,91.19,13.97,Bottom,0
R17,7.62,32.26,Bottom,0
R18,7.62,34.8,Bottom,0
R19,19.56,32.26,Bottom,0
R20,19.56,34.8,Bottom,0
R21,31.5,32.26,Bottom,0
R22,31.5,34.8,Bottom,0
R23,43.43,32.26,Bottom,0
R24,43.43,34.8,Bottom,0
R25,55.37,32.26,Bottom,0
R26,55.37,34.8,Bottom,0
R27,67.31,32.26,Bottom,0
R28,67.31,34.8,Bottom,0
R29,79.25,32.26,Bottom,0
R30,79.25,34.8,Bottom,0
R31,91.19,32.26,Bottom,0
R32,91.19,34.8,Bottom,0
R33,7.62,53.09,Bottom,0
R34,7.62,55.63,Bottom,0
R35,19.56,53.09,Bottom,0
R36,19.56,55.63,Bottom,0
R37,31.5,53.09,Bottom,0
R38,31.5,55.63,Bottom,0
R39,43.43,53.09,Bottom,0
R40,43.43,55.63,Bottom,0
R41,55.37,53.09,Bottom,0
R42,55.37,55.63,Bottom,0
R43,67.31,53.09,Bottom,0
R44,67.31,55.63,Bottom,0
R45,79.25,53.09,Bottom,0
R46,79.25,55.63,Bottom,0
R47,91.19,53.09,Bottom,0
R48,91.19,55.63,Bottom,0
R49,7.62,73.91,Bottom,0
R50,7.62,76.45,Bottom,0
R51,19.56,73.91,Bottom,0
R52,19.56,76.45,Bottom,0
R53,31.5,73.91,Bottom,0
R54,31.5,76.45,Bottom,0
R55,43.43,73.91,Bottom,0
R56,43.43,76.45,Bottom,0
R57,55.37,73.91,Bottom,0
R58,55.37,76.45,Bottom,0
R59,67.31,73.91,Bottom,0
R60,67.31,76.45,Bottom,0
R61,79.25,73.91,Bottom,0
R62,79.25,76.45,Bottom,0
R63,91.19,73.91,Bottom,0
R64,91.19,76.45,Bottom,0
R65,7.62,94.74,Bottom,0
R66,7.62,97.28,Bottom,0
R67,19.56,94.74,Bottom,0
R68,19.56,97.28,Bottom,0
R69,31.5,94.74,Bottom,0
R70,31.5,97.28,Bottom,0
R71,43.43,94.74,Bottom,0
R72,43.43,97.28,Bottom,0
R73,55.37,94.74,Bottom,0
R74,55.37,97.28,Bottom,0
R75,67.31,94.74,Bottom,0
R76,67.31,97.28,Bottom,0
R77,79.25,94.74,Bottom,0
R78,79.25,97.28,Bottom,0
R79,91.19,94.74,Bottom,0
R80,91.19,97.28,Bottom,0
