Designator,Mid X,Mid Y,Layer,Rotation
E$2,11.43,147.38,B,0
E$4,157.16,147.38,B,0
E$6,11.43,-2.1,B,0
FD2,0.64,19.69,B,90
FD4,10.79,0.64,B,90
FD6,17.14,19.69,B,90
FD8,27.3,0.64,B,90
FD10,33.66,19.69,B,90
FD12,43.82,0.64,B,90
FD14,50.16,19.69,B,90
FD16,60.33,0.64,B,90
FD18,66.67,19.69,B,90
FD20,76.84,0.64,B,90
FD22,83.19,19.69,B,90
FD24,93.34,0.64,B,90
FD26,99.7,19.69,B,90
FD28,109.86,0.64,B,90
FD30,116.21,19.69,B,90
FD32,126.37,0.64,B,90
FD34,132.72,19.69,B,90
FD36,142.88,0.64,B,90
FD38,149.22,19.69,B,90
FD40,159.39,0.64,B,90
FD42,0.64,40.51,B,90
FD44,10.79,21.46,B,90
FD46,17.14,40.51,B,90
FD48,27.3,21.46,B,90
FD50,33.66,40.51,B,90
FD52,43.82,21.46,B,90
FD54,50.16,40.51,B,90
FD56,60.33,21.46,B,90
FD58,66.67,40.51,B,90
FD60,76.84,21.46,B,90
FD62,83.19,40.51,B,90
FD64,93.34,21.46,B,90
FD66,99.7,40.51,B,90
FD68,109.86,21.46,B,90
FD70,116.21,40.51,B,90
FD72,126.37,21.46,B,90
FD74,132.72,40.51,B,90
FD76,142.88,21.46,B,90
FD78,149.22,40.51,B,90
FD80,159.39,21.46,B,90
FD82,0.64,61.34,B,90
FD84,10.79,42.29,B,90
FD86,17.14,61.34,B,90
FD88,27.3,42.29,B,90
FD90,33.66,61.34,B,90
FD92,43.82,42.29,B,90
FD94,50.16,61.34,B,90
FD96,60.33,42.29,B,90
FD98,66.67,61.34,B,90
FD100,76.84,42.29,B,90
FD102,83.19,61.34,B,90
FD104,93.34,42.29,B,90
FD106,99.7,61.34,B,90
FD108,109.86,42.29,B,90
FD110,116.21,61.34,B,90
FD112,126.37,42.29,B,90
FD114,132.72,61.34,B,90
FD116,142.88,42.29,B,90
FD118,149.22,61.34,B,90
FD120,159.39,42.29,B,90
FD122,0.64,82.17,B,90
FD124,10.79,63.12,B,90
FD126,17.14,82.17,B,90
FD128,27.3,63.12,B,90
FD130,33.66,82.17,B,90
FD132,43.82,63.12,B,90
FD134,50.16,82.17,B,90
FD136,60.33,63.12,B,90
FD138,66.67,82.17,B,90
FD140,76.84,63.12,B,90
FD142,83.19,82.17,B,90
FD144,93.34,63.12,B,90
FD146,99.7,82.17,B,90
FD148,109.86,63.12,B,90
FD150,116.21,82.17,B,90
FD152,126.37,63.12,B,90
FD154,132.72,82.17,B,90
FD156,142.88,63.12,B,90
FD158,149.22,82.17,B,90
FD160,159.39,63.12,B,90
FD162,0.64,103,B,90
FD164,10.79,83.95,B,90
FD166,17.14,103,B,90
FD168,27.3,83.95,B,90
FD170,33.66,103,B,90
FD172,43.82,83.95,B,90
FD174,50.16,103,B,90
FD176,60.33,83.95,B,90
FD178,66.67,103,B,90
FD180,76.84,83.95,B,90
FD182,83.19,103,B,90
FD184,93.34,83.95,B,90
FD186,99.7,103,B,90
FD188,109.86,83.95,B,90
FD190,116.21,103,B,90
FD192,126.37,83.95,B,90
FD194,132.72,103,B,90
FD196,142.88,83.95,B,90
FD198,149.22,103,B,90
FD200,159.39,83.95,B,90
FD202,0.64,123.83,B,90
FD204,10.79,104.78,B,90
FD206,17.14,123.83,B,90
FD208,27.3,104.78,B,90
FD210,33.66,123.83,B,90
FD212,43.82,104.78,B,90
FD214,50.16,123.83,B,90
FD216,60.33,104.78,B,90
FD218,66.67,123.83,B,90
FD220,76.84,104.78,B,90
FD222,83.19,123.83,B,90
FD224,93.34,104.78,B,90
FD226,99.7,123.83,B,90
FD228,109.86,104.78,B,90
FD230,116.21,123.83,B,90
FD232,126.37,104.78,B,90
FD234,132.72,123.83,B,90
FD236,142.88,104.78,B,90
FD238,149.22,123.83,B,90
FD240,159.39,104.78,B,90
FD242,0.64,144.65,B,90
FD244,10.79,125.6,B,90
FD246,17.14,144.65,B,90
FD248,27.3,125.6,B,90
FD250,33.66,144.65,B,90
FD252,43.82,125.6,B,90
FD254,50.16,144.65,B,90
FD256,60.33,125.6,B,90
FD258,66.67,144.65,B,90
FD260,76.84,125.6,B,90
FD262,83.19,144.65,B,90
FD264,93.34,125.6,B,90
FD266,99.7,144.65,B,90
FD268,109.86,125.6,B,90
FD270,116.21,144.65,B,90
FD272,126.37,125.6,B,90
FD274,132.72,144.65,B,90
FD276,142.88,125.6,B,90
FD278,149.22,144.65,B,90
FD280,159.39,125.6,B,90
R1,6.99,3.81,B,180
R2,6.99,16.51,B,180
R3,23.5,3.81,B,180
R4,23.5,16.51,B,180
R5,40.01,3.81,B,180
R6,40.01,16.51,B,180
R7,56.52,3.81,B,180
R8,56.52,16.51,B,180
R9,73.03,3.81,B,180
R10,73.03,16.51,B,180
R11,89.54,3.81,B,180
R12,89.54,16.51,B,180
R13,106.05,3.81,B,180
R14,106.05,16.51,B,180
R15,122.56,3.81,B,180
R16,122.56,16.51,B,180
R17,139.06,3.81,B,180
R18,139.06,16.51,B,180
R19,155.58,3.81,B,180
R20,155.58,16.51,B,180
R21,6.99,24.64,B,180
R22,6.99,37.34,B,180
R23,23.5,24.64,B,180
R24,23.5,37.34,B,180
R25,40.01,24.64,B,180
R26,40.01,37.34,B,180
R27,56.52,24.64,B,180
R28,56.52,37.34,B,180
R29,73.03,24.64,B,180
R30,73.03,37.34,B,180
R31,89.54,24.64,B,180
R32,89.54,37.34,B,180
R33,106.05,24.64,B,180
R34,106.05,37.34,B,180
R35,122.56,24.64,B,180
R36,122.56,37.34,B,180
R37,139.06,24.64,B,180
R38,139.06,37.34,B,180
R39,155.58,24.64,B,180
R40,155.58,37.34,B,180
R41,6.99,45.47,B,180
R42,6.99,58.17,B,180
R43,23.5,45.47,B,180
R44,23.5,58.17,B,180
R45,40.01,45.47,B,180
R46,40.01,58.17,B,180
R47,56.52,45.47,B,180
R48,56.52,58.17,B,180
R49,73.03,45.47,B,180
R50,73.03,58.17,B,180
R51,89.54,45.47,B,180
R52,89.54,58.17,B,180
R53,106.05,45.47,B,180
R54,106.05,58.17,B,180
R55,122.56,45.47,B,180
R56,122.56,58.17,B,180
R57,139.06,45.47,B,180
R58,139.06,58.17,B,180
R59,155.58,45.47,B,180
R60,155.58,58.17,B,180
R61,6.99,66.29,B,180
R62,6.99,78.99,B,180
R63,23.5,66.29,B,180
R64,23.5,78.99,B,180
R65,40.01,66.29,B,180
R66,40.01,78.99,B,180
R67,56.52,66.29,B,180
R68,56.52,78.99,B,180
R69,73.03,66.29,B,180
R70,73.03,78.99,B,180
R71,89.54,66.29,B,180
R72,89.54,78.99,B,180
R73,106.05,66.29,B,180
R74,106.05,78.99,B,180
R75,122.56,66.29,B,180
R76,122.56,78.99,B,180
R77,139.06,66.29,B,180
R78,139.06,78.99,B,180
R79,155.58,66.29,B,180
R80,155.58,78.99,B,180
R81,6.99,87.12,B,180
R82,6.99,99.82,B,180
R83,23.5,87.12,B,180
R84,23.5,99.82,B,180
R85,40.01,87.12,B,180
R86,40.01,99.82,B,180
R87,56.52,87.12,B,180
R88,56.52,99.82,B,180
R89,73.03,87.12,B,180
R90,73.03,99.82,B,180
R91,89.54,87.12,B,180
R92,89.54,99.82,B,180
R93,106.05,87.12,B,180
R94,106.05,99.82,B,180
R95,122.56,87.12,B,180
R96,122.56,99.82,B,180
R97,139.06,87.12,B,180
R98,139.06,99.82,B,180
R99,155.58,87.12,B,180
R100,155.58,99.82,B,180
R101,6.99,107.95,B,180
R102,6.99,120.65,B,180
R103,23.5,107.95,B,180
R104,23.5,120.65,B,180
R105,40.01,107.95,B,180
R106,40.01,120.65,B,180
R107,56.52,107.95,B,180
R108,56.52,120.65,B,180
R109,73.03,107.95,B,180
R110,73.03,120.65,B,180
R111,89.54,107.95,B,180
R112,89.54,120.65,B,180
R113,106.05,107.95,B,180
R114,106.05,120.65,B,180
R115,122.56,107.95,B,180
R116,122.56,120.65,B,180
R117,139.06,107.95,B,180
R118,139.06,120.65,B,180
R119,155.58,107.95,B,180
R120,155.58,120.65,B,180
R121,6.99,128.78,B,180
R122,6.99,141.48,B,180
R123,23.5,128.78,B,180
R124,23.5,141.48,B,180
R125,40.01,128.78,B,180
R126,40.01,141.48,B,180
R127,56.52,128.78,B,180
R128,56.52,141.48,B,180
R129,73.03,128.78,B,180
R130,73.03,141.48,B,180
R131,89.54,128.78,B,180
R132,89.54,141.48,B,180
R133,106.05,128.78,B,180
R134,106.05,141.48,B,180
R135,122.56,128.78,B,180
R136,122.56,141.48,B,180
R137,139.06,128.78,B,180
R138,139.06,141.48,B,180
R139,155.58,128.78,B,180
R140,155.58,141.48,B,180
J2,3.175,10.16,T,90
J4,19.685,10.16,T,90
J6,36.195,10.16,T,90
J8,52.705,10.16,T,90
J10,69.215,10.16,T,90
J12,85.725,10.16,T,90
J14,102.235,10.16,T,90
J16,118.745,10.16,T,90
J18,135.255,10.16,T,90
J20,151.765,10.16,T,90
J22,3.175,30.988,T,90
J24,19.685,30.988,T,90
J26,36.195,30.988,T,90
J28,52.705,30.988,T,90
J30,69.215,30.988,T,90
J32,85.725,30.988,T,90
J34,102.235,30.988,T,90
J36,118.745,30.988,T,90
J38,135.255,30.988,T,90
J40,151.765,30.988,T,90
J42,3.175,51.816,T,90
J44,19.685,51.816,T,90
J46,36.195,51.816,T,90
J48,52.705,51.816,T,90
J50,69.215,51.816,T,90
J52,85.725,51.816,T,90
J54,102.235,51.816,T,90
J56,118.745,51.816,T,90
J58,135.255,51.816,T,90
J60,151.765,51.816,T,90
J62,3.175,72.644,T,90
J64,19.685,72.644,T,90
J66,36.195,72.644,T,90
J68,52.705,72.644,T,90
J70,69.215,72.644,T,90
J72,85.725,72.644,T,90
J74,102.235,72.644,T,90
J76,118.745,72.644,T,90
J78,135.255,72.644,T,90
J80,151.765,72.644,T,90
J82,3.175,93.472,T,90
J84,19.685,93.472,T,90
J86,36.195,93.472,T,90
J88,52.705,93.472,T,90
J90,69.215,93.472,T,90
J92,85.725,93.472,T,90
J94,102.235,93.472,T,90
J96,118.745,93.472,T,90
J98,135.255,93.472,T,90
J100,151.765,93.472,T,90
J102,3.175,114.3,T,90
J104,19.685,114.3,T,90
J106,36.195,114.3,T,90
J108,52.705,114.3,T,90
J110,69.215,114.3,T,90
J112,85.725,114.3,T,90
J114,102.235,114.3,T,90
J116,118.745,114.3,T,90
J118,135.255,114.3,T,90
J120,151.765,114.3,T,90
J122,3.175,135.128,T,90
J124,19.685,135.128,T,90
J126,36.195,135.128,T,90
J128,52.705,135.128,T,90
J130,69.215,135.128,T,90
J132,85.725,135.128,T,90
J134,102.235,135.128,T,90
J136,118.745,135.128,T,90
J138,135.255,135.128,T,90
J140,151.765,135.128,T,90
